customer_id,first_name,last_name,email,phone,age,income,registration_date,status,city,state,purchase_amount,loyalty_score
CUST_00001,Jane,Smith,jane.smith@gmail.com,999-130-2535,62,53893,2022-07-08,Suspended,New York,TX,319.4,98
CUST_00002,jane,Moore,jane.moore@gmail.com,(555) 180-5803,67,35458,2021-04-21,Active,San Antonio,PA,716.99,86
CUST_00003,Jane,Thomas,jane.thomas@yahoo.com,9999246168,31,1000000,2021-10-06,Inactive,San Diego,CA,287.86,96
CUST_00004,David,Thomas,david.thomas@gmail.com,1237102040,47,97512,2020-01-24,Active,Dallas,PA,875.18,59
CUST_00005,David,Anderson,david.anderson@gmail.com,4561006310,77,134008,2021-09-21,Inactive,New York,CA,977.12,9
CUST_00006,Chris,Brown,chris.brown@gmail.com,4565489479,32,27757,2023-04-19,Inactive,San Jose,NY,1811.79,43
CUST_00007,Sarah,Miller,sarah.miller@gmail.com,5554627939,64,110649,2023-08-16,Active,New York,CA,388.52,58
CUST_00008,Mike,Miller,mike.miller@gmail.com,999-195-4872,75,74672,2020-01-05,Pending,Phoenix,AZ,1915.06,72
CUST_00009,Emma,Brown,emma.brown@gmail.com,123-614-9701,22,55828,2022-04-06,Active,San Jose,CA,1318.17,73
CUST_00010,David,Davis,david.davis@gmail.com,123.175.9808,40,140247,2021-05-15,Suspended,Phoenix,AZ,1974.59,84
CUST_00011,Chris,Miller,chris.miller@yahoo.com,4563085325,76,37097,2023-07-23,Pending,phoenix,IL,531.29,95
CUST_00012,tom,ANDERSON,tom.anderson@yahoo.com,999.142.6050,33,71357,2023-02-20,Pending,San Jose,TX,,23
CUST_00013,John,Brown,john.brown@yahoo.com,7893274269,70,54831,2021-04-01,Active,Houston,CA,,36
CUST_00014,Chris, Moore,chris.moore@gmail.com,(999) 371-1626,54,30817,2023-12-22,Pending,New York,TX,149.25,86
CUST_00015,Anna,Wilson,anna.wilson@gmail.com,789.780.7211,71,62606,2021-03-06,Pending,San Jose,CA,435.27,61
CUST_00016,Mike,Johnson,mike.johnson@invalid,4561475011,67,79321,2023-07-13,Inactive,San Antonio,NY,,99
CUST_00017,Tom,Davis,tom.davis@yahoo.com,5558738251,53,45861,2022-08-30,Pending,Phoenix,AZ,1047.39,81
CUST_00018,Emma,Johnson,emma.johnson@gmail.com,5555176421,31,76049,2023-04-11,Active, San Jose ,PA,786.07,54
CUST_00019,Chris,Thomas,chris.thomas@yahoo.com,(555) 841-3704,45,85515,2021-01-07,Active,Phoenix,PA,1760.48,36
CUST_00020,Tom,Miller,tom.miller@invalid,(456) 765-2124,33,112747,2020-08-22,Inactive,San Diego,IL,1927.83,92
CUST_00021,Mike,MILLER,mike.miller@invalid,(555) 832-4249,45,34038,2022-11-02,Suspended,New York,CA,730.75,59
CUST_00022,Tom,Brown,tom.brown@gmail.com,555-430-5022,54,74674,2021-11-19,Active,San Diego,TX,524.12,36
CUST_00023,david,Anderson,david.anderson@yahoo.com,555-558-1282,55,97544,2022-12-23,Suspended,San Antonio,PA,549.12,33
CUST_00024,Sarah,Wilson,sarah.wilson@gmail.com,999.202.4180,18,41591,2021-07-15,Active,New York,IL,1508.06,14
CUST_00025,Anna,Miller,anna.miller@gmail.com,(123) 510-9056,5,79548,2023-05-26,Inactive,Dallas,AZ,,55
CUST_00026,Anna,Smith,anna.smith@yahoo.com,4565188381,32,62056,2023-12-10,Pending,Los Angeles,CA,1868.0,55
CUST_00027,Sarah,Brown,sarah.brown@yahoo.com,999.805.5982,49,103385,2020-03-22,Pending, Philadelphia ,TX,,74
CUST_00028,John,Miller,john.miller@gmail.com,(999) 546-9056,39,89942,2021-08-13,Pending,dallas,AZ,1940.67,52
CUST_00029,John,ANDERSON,john.anderson@gmail.com,(123) 308-5375,58,56365,2023-12-24,Inactive,Phoenix,CA,1684.4,15
CUST_00030,Jane,Brown,jane.brown@yahoo.com,(456) 567-3369,68,69548,2022-11-05,Suspended,New York,CA,1323.28,20
CUST_00031,Emma,Wilson,emma.wilson@yahoo.com,4568628749,60,110461,2020-11-07,Pending,New York,PA,,57
CUST_00032,Emma,Smith,emma.smith@yahoo.com,7899729742,200,124536,2022-09-26,Active,san jose,AZ,,96
CUST_00033,Jane, Johnson,jane.johnson@gmail.com,(789) 541-3385,42,56566,2022-10-16,Inactive,Houston,AZ,1798.83,60
CUST_00034,chris,Brown,chris.brown@invalid,7892094886,54,116655,2021-08-27,Active,San Antonio,NY,,96
CUST_00035,David,Davis,david.davis@yahoo.com,456-742-1645,36,79460,2020-12-25,Inactive,Chicago,PA,1827.84,22
CUST_00036,Emma,Miller,emma.miller@yahoo.com,5556493024,65,101619,2022-02-19,Suspended,Los Angeles,CA,,72
CUST_00037,Anna,Davis,anna.davis@gmail.com,1236503222,60,1000000,2023-01-11,Pending,San Jose,TX,1669.05,79
CUST_00038,David,Smith,david.smith@yahoo.com,(789) 657-6876,59,27799,2020-04-13,Suspended,Houston,TX,1532.66,27
CUST_00039,Sarah,Wilson,sarah.wilson@invalid,456.212.1422,33,27068,2020-12-22,Suspended,New York,CA,957.73,100
CUST_00040,Anna,Johnson,anna.johnson@yahoo.com,7895362768,46,35589,2021-10-21,Inactive,Los Angeles,CA,657.12,77
CUST_00041,Emma,ANDERSON,emma.anderson@yahoo.com,(456) 540-8398,38,74060,2020-11-08,Pending,los angeles,TX,1480.2,17
CUST_00042,Anna,Anderson,anna.anderson@gmail.com,1233173535,24,97910,2022-01-22,Active,Phoenix,TX,,80
CUST_00043,Chris, Smith,chris.smith@yahoo.com,(789) 459-1100,51,80028,2022-07-18,Suspended,Chicago,CA,1767.85,20
CUST_00044,Anna,Smith,anna.smith@gmail.com,(999) 216-6655,56,51794,2021-09-09,Inactive,Chicago,CA,1496.56,23
CUST_00045,Chris,Davis,chris.davis@gmail.com,1236877626,43,67568,2020-12-17,Pending,philadelphia,TX,806.9,11
CUST_00046,David,Wilson,david.wilson@gmail.com,789-341-2684,59,149687,2023-07-10,Pending,San Diego,CA,1765.28,83
CUST_00047,Anna,Wilson,anna.wilson@gmail.com,(789) 705-1920,71,109497,2020-07-03,Pending,San Diego,NY,1621.53,84
CUST_00048,Anna,Taylor,anna.taylor@yahoo.com,123-140-5059,76,78578,2021-11-23,Active,philadelphia,TX,1450.23,85
CUST_00049,Anna,Brown,anna.brown@invalid,(555) 232-2388,45,27389,2022-01-12,Suspended,Chicago,CA,1999.95,20
CUST_00050,Jane, Anderson,jane.anderson@yahoo.com,(456) 711-7172,61,83222,2023-06-04,Suspended,San Diego,CA,,25
CUST_00051,Anna,Taylor,anna.taylor@invalid,(456) 920-3267,51,62363,2020-06-20,Inactive,Phoenix,TX,1821.9,58
CUST_00052,john,Moore,john.moore@gmail.com,123-910-3392,48,25688,2020-06-11,Active,Phoenix,CA,231.26,37
CUST_00053,Jane,Smith,jane.smith@gmail.com,(999) 116-9443,33,49551,2023-09-22,Active,Dallas,TX,1574.96,65
CUST_00054,tom,Taylor,tom.taylor@gmail.com,456.236.1726,29,114742,2022-08-09,Pending,Chicago,CA,411.17,26
CUST_00055,Lisa,Miller,lisa.miller@gmail.com,7899187029,65,75678,2021-11-25,Inactive,San Diego,TX,174.4,55
CUST_00056,Anna,Brown,anna.brown@yahoo.com,555.143.6776,68,5000,2023-10-06,Pending,Philadelphia,IL,,19
CUST_00057,Emma,Smith,emma.smith@gmail.com,456.554.2259,59,39869,2020-02-23,Inactive,San Diego,CA,527.98,58
CUST_00058,Anna,Miller,anna.miller@gmail.com,555.826.2063,72,118003,2023-12-05,Inactive,Philadelphia,TX,481.11,64
CUST_00059,Chris,Thomas,chris.thomas@gmail.com,(555) 638-7730,61,41821,2023-02-03,Inactive,Chicago,NY,1041.02,39
CUST_00060,Lisa,Davis,lisa.davis@yahoo.com,999-740-5961,55,111341,2023-07-02,Suspended,san jose,CA,1286.49,74
CUST_00061,Sarah,Thomas,sarah.thomas@yahoo.com,5552618202,31,43830,2021-10-02,Suspended,Philadelphia,PA,221.31,31
